# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ABC_transporters	Arachidonic_acid_metabolism	Bacterial_chemotaxis	Bacterial_motility_proteins	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Bisphenol_degradation	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Cysteine_and_methionine_metabolism	DNA_repair_and_recombination_proteins	Ethylbenzene_degradation	Flavone_and_flavonol_biosynthesis	Glutathione_metabolism	Glycosyltransferases	Glyoxylate_and_dicarboxylate_metabolism	Insulin_signaling_pathway	Lipid_metabolism	Meiosis___yeast	Nitrogen_metabolism	Other_ion_coupled_transporters	Others	Pathways_in_cancer	Pentose_and_glucuronate_interconversions	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Porphyrin_and_chlorophyll_metabolism	Renal_cell_carcinoma	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Sulfur_metabolism	Transcription_factors	Transcription_machinery	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU257_Lachnospiraceae_unclassified	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	a:0.0176140969186	b:0.0	b:-0.00480384461415	b:-0.0336269122991	b:0.0	b:-0.0240192230708	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0144115338425	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU258_Olsenella	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0288230676849	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU259_Lachnospiraceae_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU25_Prevotella	b:-0.0368294753752	b:-0.0144115338425	b:-0.0128102523044	b:-0.0256205046088	b:-0.0352281938371	b:-0.0208166599947	b:-0.0688551061362	b:-0.032025630761	b:-0.00480384461415	b:-0.0736589507503	b:-0.0832666399786	b:-0.0400320384513	b:0.0	b:-0.0896717661308	b:-0.030424349223	b:-0.121697396892	b:0.0	b:-0.0592474169079	b:0.0	b:-0.0992794553592	b:-0.094475610745	b:-0.0576461353698	b:-0.104083299973	b:-0.0416333199893	b:-0.0896717661308	b:-0.0480384461415	b:-0.121697396892	b:0.0	b:-0.0160128153805	b:-0.0704563876742	b:-0.0416333199893	b:-0.0464371646035	b:-0.0480384461415	b:-0.0704563876742	b:-0.0720576692123	b:-0.030424349223	b:-0.0480384461415
OTU260_Prevotellaceae_unclassified	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:-0.00960768922831	b:0.0	b:0.0	b:-0.0160128153805	b:-0.00960768922831	b:-0.00960768922831	b:0.0	b:-0.0256205046088	b:0.0	b:-0.0144115338425	b:-0.0144115338425	b:-0.0160128153805	b:-0.00960768922831	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.00160128153805	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0
OTU261_Lachnospiraceae_unclassified	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU262_Firmicutes_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU263_Lachnospiraceae_unclassified	c:0.0064051261522	d:0.0	c:0.00480384461415	c:0.00480384461415	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00160128153805	c:0.0208166599947	c:0.0032025630761	d:0.0	c:0.0064051261522	c:0.0032025630761	c:0.0112089707664	d:0.0	c:0.0128102523044	d:0.0	c:0.0160128153805	c:0.0160128153805	c:0.0144115338425	c:0.0160128153805	d:0.0	c:0.0288230676849	d:0.0	c:0.0144115338425	d:0.0	c:0.00480384461415	c:0.0032025630761	c:0.00960768922831	c:0.00960768922831	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0
OTU264_Bacteroidetes_unclassified	b:-0.0064051261522	b:0.0	b:-0.00480384461415	b:-0.00480384461415	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	a:0.00160128153805	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0160128153805	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0176140969186	b:-0.0144115338425	b:-0.0112089707664	b:-0.030424349223	b:0.0	b:-0.0336269122991	b:0.0	b:-0.0192153784566	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:0.0
OTU265_Clostridiales_unclassified	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	c:0.0032025630761	c:0.0240192230708	c:0.00160128153805	d:0.0	d:0.0	d:0.0	c:0.00960768922831	c:0.00160128153805	c:0.0192153784566	c:0.032025630761	d:0.0	c:0.0560448538318	d:0.0	c:0.0064051261522	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0208166599947	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU266_Porphyromonadaceae_unclassified	c:0.00480384461415	d:0.0	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	d:0.0	c:0.00960768922831	c:0.0192153784566	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0032025630761	d:0.0	c:0.0176140969186	c:0.0336269122991	d:0.0	c:0.0512410092176	d:0.0	c:0.0368294753752	d:0.0	d:0.0	d:0.0	d:0.0	c:0.030424349223	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU267_Porphyromonadaceae_unclassified	b:-0.00960768922831	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:-0.0128102523044	b:0.0	a:0.0160128153805	b:0.0	b:-0.0112089707664	b:-0.0128102523044	b:0.0	b:-0.0176140969186	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0192153784566	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU268_Mitsuokella	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0400320384513	b:-0.00960768922831	b:0.0	b:-0.0176140969186	b:0.0	b:-0.0144115338425	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU269_Ruminococcus	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0448358830654	b:-0.00160128153805	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU26_Ruminobacter	c:0.0528422907557	c:0.0336269122991	c:0.0400320384513	c:0.0128102523044	c:0.0448358830654	c:0.0368294753752	c:0.104083299973	c:0.0176140969186	c:0.0144115338425	c:0.0704563876742	c:0.110488426126	c:0.0192153784566	d:0.0	c:0.0752602322884	c:0.108887144587	c:0.104083299973	c:0.0336269122991	c:0.0544435722937	c:0.0128102523044	c:0.0768615138264	c:0.092874329207	c:0.0656525430601	c:0.0880704845928	c:0.0240192230708	c:0.0672538245981	c:0.0400320384513	c:0.092874329207	c:0.00800640769025	c:0.0144115338425	c:0.0784627953645	c:0.0576461353698	c:0.0576461353698	c:0.0560448538318	c:0.0416333199893	c:0.0432346015274	c:0.030424349223	c:0.0336269122991
OTU270_Bibersteinia	c:0.030424349223	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	c:0.00480384461415	c:0.032025630761	c:0.00480384461415	d:0.0	c:0.0336269122991	d:0.0	c:0.0064051261522	d:0.0	c:0.0064051261522	c:0.0288230676849	d:0.0	c:0.0240192230708	d:0.0	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU271_Bacteroidetes_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU272_Prevotellaceae_unclassified	d:0.0	d:0.0	c:0.0112089707664	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0272217861469	d:0.0	c:0.0128102523044	c:0.0112089707664	d:0.0	c:0.0144115338425	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU273_Prevotella	c:0.0064051261522	d:0.0	c:0.00800640769025	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0	d:0.0	c:0.00480384461415	d:0.0	c:0.0128102523044	d:-0.00480384461415	d:-0.00960768922831	c:0.00960768922831	d:0.0	d:-0.0064051261522	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU274_Lachnospiraceae_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU275_Saccharofermentans	c:0.0160128153805	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0	c:0.0256205046088	c:0.00800640769025	c:0.0032025630761	c:0.00960768922831	d:0.0	c:0.0336269122991	d:0.0	c:0.00800640769025	d:0.0	d:0.0	c:0.0032025630761	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU276_Bacteria_unclassified	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU277_Lachnospiracea_incertae_sedis	b:-0.0224179415327	b:0.0	b:-0.00800640769025	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0128102523044	b:-0.0208166599947	b:0.0	b:0.0	b:-0.0160128153805	b:-0.0144115338425	b:-0.00960768922831	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0064051261522	b:-0.00960768922831	b:-0.0240192230708	b:-0.0192153784566	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.00160128153805	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0
OTU278_Paraprevotella	c:0.0272217861469	d:0.0	c:0.0272217861469	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0	c:0.0176140969186	d:0.0	d:0.0	c:0.0176140969186	d:0.0	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0272217861469	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU279_Clostridiales_unclassified	c:0.0240192230708	d:0.0	c:0.0368294753752	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00960768922831	d:0.0	d:0.0	c:0.0032025630761	c:0.0416333199893	d:0.0	d:0.0	c:0.00960768922831	d:0.0	c:0.0240192230708	d:0.0	c:0.0032025630761	c:0.0224179415327	d:0.0	c:0.0512410092176	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU27_Prevotellaceae_unclassified	b:-0.0864692030547	b:-0.00480384461415	b:-0.0400320384513	b:-0.0384307569132	b:-0.030424349223	b:-0.0464371646035	b:-0.1809448138	b:-0.0192153784566	b:0.0	b:-0.105684581511	b:-0.0752602322884	b:-0.0464371646035	b:0.0	b:-0.0416333199893	b:-0.0736589507503	b:-0.160128153805	b:0.0	b:-0.12329867843	b:0.0	b:-0.0576461353698	b:-0.0608486984459	b:-0.0864692030547	b:-0.152121746115	b:0.0	b:-0.0768615138264	b:-0.0448358830654	b:-0.116893552278	b:0.0	b:-0.0272217861469	b:-0.0768615138264	b:-0.0752602322884	b:-0.0256205046088	b:-0.0560448538318	b:-0.0336269122991	b:-0.0336269122991	b:-0.0384307569132	b:-0.0528422907557
OTU280_Treponema	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	a:0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:-0.0032025630761	b:-0.030424349223	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU281_Bacteroidetes_unclassified	c:0.0176140969186	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	d:0.0	d:0.0	c:0.0336269122991	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0160128153805	d:0.0	c:0.0352281938371	c:0.0176140969186	d:0.0	c:0.0832666399786	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0208166599947	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU282_Lachnospiraceae_unclassified	b:-0.0224179415327	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.030424349223	b:0.0	b:0.0	b:-0.0128102523044	b:-0.0144115338425	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:-0.0368294753752	b:-0.0112089707664	b:0.0	b:-0.00960768922831	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU283_Prevotellaceae_unclassified	d:0.0	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00480384461415	c:2.77555756156e-19	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.00480384461415	d:0.0	c:0.00160128153805	c:0.0064051261522	d:0.0	d:-0.00160128153805	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:-0.0032025630761	c:0.00160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU284_Lachnospiracea_incertae_sedis	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU285_Treponema	b:-0.0128102523044	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0416333199893	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:-0.0192153784566	b:-0.0128102523044	b:0.0	b:-0.0144115338425	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU286_Bacteria_unclassified	c:0.0064051261522	d:0.0	c:0.00480384461415	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0144115338425	c:0.0176140969186	d:0.0	d:0.0	c:0.00480384461415	c:0.0128102523044	c:0.0144115338425	d:0.0	c:0.00960768922831	d:0.0	c:0.0064051261522	c:0.00960768922831	d:0.0	c:0.0224179415327	d:0.0	c:0.00960768922831	d:0.0	c:0.0144115338425	d:0.0	d:0.0	c:0.0112089707664	c:0.00960768922831	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0
OTU287_Pasteurellaceae_unclassified	c:0.0288230676849	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	c:0.0352281938371	d:0.0	d:0.0	c:0.0208166599947	d:0.0	d:0.0	d:0.0	c:0.0256205046088	c:0.0336269122991	d:0.0	c:0.0448358830654	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU288_Ruminococcaceae_unclassified	b:-0.0064051261522	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0144115338425	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:-0.0112089707664	b:0.0	b:-0.0208166599947	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU289_Succinivibrio	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU28_Prevotella	b:-0.0896717661308	b:-0.0064051261522	b:-0.0256205046088	b:-0.0224179415327	b:-0.0064051261522	b:-0.0176140969186	b:-0.0544435722937	b:-0.0224179415327	b:0.0	b:-0.0800640769025	b:-0.030424349223	b:-0.0384307569132	b:0.0	b:-0.0352281938371	b:-0.030424349223	b:-0.0528422907557	b:0.0	b:-0.0480384461415	b:0.0	b:-0.0416333199893	b:-0.0880704845928	b:-0.0480384461415	b:-0.0880704845928	b:0.0	b:-0.104083299973	b:-0.0176140969186	b:-0.0736589507503	b:0.0	b:-0.0192153784566	b:-0.0272217861469	b:-0.0256205046088	b:-0.0160128153805	b:-0.0176140969186	b:-0.0544435722937	b:-0.0496397276796	b:-0.0288230676849	b:-0.0368294753752
OTU290_Bacteroidetes_unclassified	c:0.0240192230708	d:0.0	c:0.0128102523044	c:0.00960768922831	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	c:0.0032025630761	c:0.030424349223	d:0.0	d:0.0	c:0.00960768922831	d:0.0	c:0.0144115338425	d:0.0	c:0.0192153784566	c:0.0128102523044	d:0.0	c:0.0144115338425	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0384307569132	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU291_Bacteria_unclassified	d:-1.11022302463e-18	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.0272217861469	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-1.94289029309e-18	c:0.0032025630761	d:0.0	c:0.0032025630761	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU292_Prevotella	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU293_Oscillibacter	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:0.0	a:0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU294_Bifidobacterium	c:0.00480384461415	d:0.0	c:0.0224179415327	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	c:0.00960768922831	c:0.030424349223	d:0.0	d:0.0	c:0.00800640769025	d:0.0	c:0.0032025630761	c:0.00960768922831	d:-1.38777878078e-18	c:0.00960768922831	d:0.0	c:0.0192153784566	d:0.0	c:0.0112089707664	d:0.0	d:0.0	c:0.00960768922831	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU295_Prevotellaceae_unclassified	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU296_Clostridiales_unclassified	c:0.0240192230708	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.0352281938371	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0	c:0.0192153784566	c:0.0160128153805	d:0.0	c:0.0400320384513	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	c:0.032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
